Entity,Product,Entity URL Full,Entity URL,Policy URL,Observaciones,WayBack Machine URL,Category,Registration date
Ministerio de Educación,,https://educacion.gob.ec,educacion.gob.ec,https://www.gobiernoelectronico.gob.ec/politica-datos-personales/,,https://web.archive.org/web/20210704003218/https%3A%2F%2Fwww.gobiernoelectronico.gob.ec%2Fpolitica-datos-personales%2F,government,7/3/2021
El Comercio,,https://www.elcomercio.com,elcomercio.com,https://www.elcomercio.com/pages/politicas-privacidad.html,,https://web.archive.org/web/20210515150616/https%3A%2F%2Fwww.elcomercio.com%2Fpages%2Fpoliticas-privacidad.html,news,7/3/2021
El Universo,,https://www.eluniverso.com,eluniverso.com,https://www.eluniverso.com/politicas-privacidad,,https://web.archive.org/web/20210515150256/https%3A%2F%2Fwww.eluniverso.com%2Fpoliticas-privacidad%2F,news,7/3/2021
Enkador,,https://www.enkador.com/?SID=pl0fdhcgh6iv22hgf8idpvl2k2,enkador.com,https://www.enkador.com/privacy-policy-cookie-restriction-mode/,,https://web.archive.org/web/20210704003508/https%3A%2F%2Fwww.enkador.com%2Fprivacy-policy-cookie-restriction-mode%2F,shopping,7/3/2021
EPN,,https://www.epn.edu.ec,epn.edu.ec,https://www.epn.edu.ec/wp-content/uploads/2021/06/POLI?TICA-DE-USO-DE-LA-INFORMACIO?N-ACTIVOS-DE-INFORMACIO?N-INSTITUCIONAL-Y-SEGURIDAD-INFORMA?TICA.-fc-signed.pdf,,https://web.archive.org/web/20211019044508/https%3A%2F%2Fwww.epn.edu.ec%2Fwp-content%2Fuploads%2F2021%2F06%2FPOLI%25CC%2581TICA-DE-USO-DE-LA-INFORMACIO%25CC%2581N-ACTIVOS-DE-INFORMACIO%25CC%2581N-INSTITUCIONAL-Y-SEGURIDAD-INFORMA%25CC%2581TICA.-fc-signed.pdf,education,10/18/2021
ESPOL,,https://www.espol.edu.ec,espol.edu.ec,http://www.espol.edu.ec/es/pol%C3%ADtica-de-privacidad,,https://web.archive.org/web/20210703233311/https%3A%2F%2Fwww.espol.edu.ec%2Fes%2Fpol%25C3%25ADtica-de-privacidad,education,7/3/2021
Gráficos nacionales,Expreso,https://www.expreso.ec,expreso.ec,https://services.expreso.ec/Granasa/TerminosCondiciones%20-%20Copy.html,,https://web.archive.org/web/20210703174704/https%3A%2F%2Fservices.expreso.ec%2FGranasa%2FTerminosCondiciones%2520-%2520Copy.html,news,7/3/2021
FMC,,http://www.fmc.com.ec,fmc.com.ec,http://www.fmc.com.ec/politica-privacidad,,https://web.archive.org/web/20211019063002/http%3A%2F%2Fwww.fmc.com.ec%2Fpolitica-privacidad,health,10/18/2021
Foros Ecuador,,http://www.forosecuador.ec/index.php,forosecuador.ec,http://www.forosecuador.ec/forum/comunidad/foro-libre/19461-aviso-legal-y-pol%C3%ADtica-de-privacidad,No es posible almacenar en web archive,,entertainment,7/3/2021
Frecuento,,https://www.frecuento.com,frecuento.com,https://www.frecuento.com/politica-de-privacidad,,https://web.archive.org/web/20210704022441/https%3A%2F%2Fwww.frecuento.com%2Fpolitica-de-privacidad,shopping,7/3/2021
Futbol Ecuador,,https://www.futbolecuador.com,futbolecuador.com,https://www.futbolecuador.com/pdf/POLÍTICA%20DE%20PRIVACIDAD%20alertas%20futbolecuador.pdf,,https://web.archive.org/web/20210515163929/https%3A%2F%2Fwww.futbolecuador.com%2Fpdf%2FPOL%25C3%258DTICA%2520DE%2520PRIVACIDAD%2520alertas%2520futbolecuador.pdf,entertainment,7/3/2021
Hospital Metropolitano,,https://www.hospitalmetropolitano.org,hospitalmetropolitano.org,https://www.hospitalmetropolitano.org/es/politicas-de-privacidad,,https://web.archive.org/web/20211019060730/https%3A%2F%2Fwww.hospitalmetropolitano.org%2Fes%2Fpoliticas-de-privacidad,health,10/18/2021
Hospital VozAndes,,https://hospitalvozandes.com,hospitalvozandes.com,https://hospitalvozandes.com/politica-privacidad/,,https://web.archive.org/web/20211019061011/https%3A%2F%2Fhospitalvozandes.com%2Fpolitica-privacidad%2F,health,10/18/2021
Humana S.A.,,https://humana.med.ec,humana.med.ec,https://humana.med.ec/archivos/mihumana/aviso-privacidad-de-datos.html,,https://web.archive.org/web/20210703161935/https%3A%2F%2Fhumana.med.ec%2Farchivos%2Fmihumana%2Faviso-privacidad-de-datos.html,health,7/3/2021
Instituto Ecuatoriano de Seguridad Social,,https://www.iess.gob.ec,iess.gob.ec,https://www.iess.gob.ec/wp-content/uploads/Politicas-uso.pdf,,https://web.archive.org/web/20210703161119/https%3A%2F%2Fwww.iess.gob.ec%2Fwp-content%2Fuploads%2FPoliticas-uso.pdf,government,7/3/2021
Ministerio de Inclusión,,https://www.inclusion.gob.ec,inclusion.gob.ec,https://www.inclusion.gob.ec/politica-datos-personales/,,https://web.archive.org/web/20210703234825/https%3A%2F%2Fwww.inclusion.gob.ec%2Fpolitica-datos-personales%2F,government,7/3/2021
Junta de Beneficiencia de Guayaquil,,https://www.loteria.com.ec/inicio,loteria.com.ec,https://www.loteria.com.ec/politicas-de-privacidad,,https://web.archive.org/web/20210704001652/https%3A%2F%2Fwww.loteria.com.ec%2Fpoliticas-de-privacidad,entertainment,7/3/2021
Mercado Libre,,https://www.mercadolibre.com.ec,mercadolibre.com.ec,https://www.mercadolibre.com.ec/ayuda/politicas-privacidad-y-confidencialidad_2284,,https://web.archive.org/web/20210704002252/https%3A%2F%2Fwww.mercadolibre.com.ec%2Fprivacidad%2Fdeclaracion-privacidad,shopping,7/3/2021
Claro,Aplicación Mi Claro,https://miclaro.com.ec/personas/web/app_dev.php/home/,miclaro.com.ec,http://www.miclaro.com.ec/app/politicas/politicas_mi_claro.pdf,,https://web.archive.org/web/20210703231628/http://www.miclaro.com.ec/app/politicas/politicas_mi_claro.pdf,shopping,7/3/2021
Ministerio de Gobierno,,https://www.ministeriodegobierno.gob.ec,ministeriodegobierno.gob.ec,https://www.ministeriodegobierno.gob.ec/politicas-para-el-tratamiento-de-datos-personales/,,https://web.archive.org/web/20210703232804/https%3A%2F%2Fwww.ministeriodegobierno.gob.ec%2Fpoliticas-para-el-tratamiento-de-datos-personales%2F,government,7/3/2021
Movistar,,https://www.movistar.com.ec,movistar.com.ec,https://www.telefonica.com/documents/153952/67280426/politica-global-privacidad.pdf/6fea1f96-5d36-31fb-b997-11123bdb8830,No es posible almacenar en web archive,,shopping,7/3/2021
Multitrabajos,,https://www.multitrabajos.com,multitrabajos.com,https://www.multitrabajos.com/empresas/politicasDePrivacidad,,https://web.archive.org/web/20210703182001/https%3A%2F%2Fwww.multitrabajos.com%2Fempresas%2FpoliticasDePrivacidad,employment,7/3/2021
MEGADATOS,,https://www.netlife.ec,netlife.ec,https://www.netlife.ec/politica-privacidad/,,https://web.archive.org/web/20210515165135/https%3A%2F%2Fwww.netlife.ec%2Fpolitica-privacidad%2F,shopping,5/5/2021
UDLA,,https://online.udla.edu.ec,online.udla.edu.ec,https://online.udla.edu.ec/aviso-de-privacidad/,,https://web.archive.org/web/20210515151748/https%3A%2F%2Fonline.udla.edu.ec%2Faviso-de-privacidad%2F,education,7/3/2021
Patio Tuerca,,https://ecuador.patiotuerca.com,patiotuerca.com,https://ecuador.patiotuerca.com/terminos-y-condiciones,,https://web.archive.org/web/20210704021857/https%3A%2F%2Fecuador.patiotuerca.com%2Fterminos-y-condiciones,shopping,7/3/2021
Banco Pichincha,,https://www.pichincha.com/portal/inicio,pichincha.com,https://www.pichincha.com/portal/Informacion/Informacion-legal,,https://web.archive.org/web/20210515144753/https%3A%2F%2Fwww.pichincha.com%2Fportal%2Finformacion%2Finformacion-legal,finances,7/3/2021
Plusvalia,,https://www.plusvalia.com,plusvalia.com,https://help.plusvalia.com/es/articles/3512912-politica-de-privacidad,,https://web.archive.org/web/20210703180355/https%3A%2F%2Fhelp.plusvalia.com%2Fes%2Farticles%2F3512912-politica-de-privacidad,shopping,7/3/2021
Primicias,,https://www.primicias.ec,primicias.ec,https://www.primicias.ec/politica-privacidad/,,https://web.archive.org/web/20210515151253/https%3A%2F%2Fwww.primicias.ec%2Fpolitica-privacidad%2F,news,5/5/2021
Banco Produbanco,Produbanco be,https://www.produbanco.com.ec,produbanco.com.ec,https://be.produbanco.com/politicas-be.html,,https://web.archive.org/web/20210704020412/https%3A%2F%2Fbe.produbanco.com%2Fpoliticas-be.html,finances,7/3/2021
PUCE,,https://formacionespecializada.puce.edu.ec/,puce.edu.ec,https://formacionespecializada.puce.edu.ec/politica-privacidad/,,https://web.archive.org/web/20211019045123/https%3A%2F%2Fformacionespecializada.puce.edu.ec%2Fpolitica-privacidad%2F,education,10/18/2021
Instant Audio,,https://radios.com.ec,radios.com.ec,https://radios.com.ec/politica-de-privacidad/,,https://web.archive.org/web/20210703164115/https%3A%2F%2Fradios.com.ec%2Fpolitica-de-privacidad%2F,news,7/3/2021
Registro Civil,,https://www.registrocivil.gob.ec,registrocivil.gob.ec,https://www.registrocivil.gob.ec/politica-datos-personales/,,https://web.archive.org/web/20210703160621/https%3A%2F%2Fwww.registrocivil.gob.ec%2Fpolitica-datos-personales%2F,government,7/3/2021
Ministerio de Salud,,https://www.salud.gob.ec,salud.gob.ec,https://www.salud.gob.ec/politica-de-privacidad-y-proteccion-de-datos/,,https://web.archive.org/web/20210703235647/https%3A%2F%2Fwww.salud.gob.ec%2Fpolitica-de-privacidad-y-proteccion-de-datos%2F,government,7/3/2021
Salud S.A.,Salud S.A. Vitality,https://www.saludsa.com,saludsa.com,https://info.saludsa.com/vitality/politica_de_privacidad,,https://web.archive.org/web/20210515150032/https%3A%2F%2Finfo.saludsa.com%2Fvitality%2Fpolitica_de_privacidad,health,7/3/2021
Salud S.A.,,https://www.saludsa.com,saludsa.com,https://www.saludsa.com/wp-content/uploads/2016/06/Poli?tica-de-privacidad-Saludsa.pdf,Actualmente no disponible,https://web.archive.org/web/20210515145818/https%3A%2F%2Fwww.saludsa.com%2Fwp-content%2Fuploads%2F2016%2F06%2FPoli%25CC%2581tica-de-privacidad-Saludsa.pdf,health,5/5/2021
Agencia Metropolitana de Tránsito,Aplicación Movilízate,https://secretariademovilidad.quito.gob.ec,secretariademovilidad.quito.gob.ec,https://secretariademovilidad.quito.gob.ec/images/MOVILIDAD/MovilizateUIO/PP-Movilizate.pdf,No es posible almacenar en web archive,,government,7/3/2021
Seguros Equinoccial,,https://segurosequinoccial.com,segurosequinoccial.com,https://segurosequinoccial.com/politica-privacidad/,,https://web.archive.org/web/20211019062447/https%3A%2F%2Fsegurosequinoccial.com%2Fpolitica-privacidad%2F,health,10/18/2021
SRI,,https://www.sri.gob.ec/web/intersri/home,sri.gob.ec,https://www.sri.gob.ec/web/guest/politica-de-privacidad,,https://web.archive.org/web/20210515145428/https%3A%2F%2Fwww.sri.gob.ec%2Fpolitica-de-privacidad,government,5/5/2021
Studio Futbol,,https://studiofutbol.com.ec,studiofutbol.com.ec,https://studiofutbol.com.ec/politica-de-privacidad/,,https://web.archive.org/web/20210703162558/https%3A%2F%2Fstudiofutbol.com.ec%2Fpolitica-de-privacidad%2F,entertainment,7/3/2021
Banco Pichincha,,https://www.tarjetasbancopichincha.com,tarjetasbancopichincha.com,https://www.tarjetasbancopichincha.com/wps/portal/PortalPichincha/Home/Nosotros/PoliticasdePrivacidadSeguridad/!ut/p/a0/04_Sj9CPykssy0xPLMnMz0vMAfGjzOItHH3cDY0sjLwN_AKcDBzNLHwsLM1NDdz9zPULsh0VAcARMd8!/,,https://web.archive.org/web/20210704004356/https%3A%2F%2Fwww.tarjetasbancopichincha.com%2Fwps%2Fportal%2FPortalPichincha%2FHome%2FNosotros%2FPoliticasdePrivacidadSeguridad%2F%2521ut%2Fp%2Fa0%2F04_Sj9CPykssy0xPLMnMz0vMAfGjzOItHH3cDY0sjLwN_AKcDBzNLHwsLM1NDdz9zPULsh0VAcARMd8%2521%2F,finances,7/3/2021
Tiendas industriales asociadas,,https://www.tia.com.ec,tia.com.ec,https://www.tia.com.ec/terminos-y-condiciones,,https://web.archive.org/web/20210703174834/https%3A%2F%2Fwww.tia.com.ec%2Fterminos-y-condiciones,shopping,7/3/2021
UDLA,UDLA app,https://www.udla.edu.ec,udla.edu.ec,https://udla.edu.ec/avisodeprivacidad/,,https://web.archive.org/web/20210704023005/https%3A%2F%2Fudla.edu.ec%2Favisodeprivacidad%2F,education,7/3/2021
UIDE,,https://www.uide.edu.ec,uide.edu.ec,https://www.uide.edu.ec/politica-de-privacidad/,,https://web.archive.org/web/20211019053527/https%3A%2F%2Fwww.uide.edu.ec%2Fpolitica-de-privacidad%2F,education,10/18/2021
UISEK,,https://uisek.edu.ec,uisek.edu.ec,https://uisek.edu.ec/politica-de-privacidad/,,https://web.archive.org/web/20211019053336/https%3A%2F%2Fuisek.edu.ec%2Fpolitica-de-privacidad%2F,education,10/18/2021
UISRAEL,,https://uisrael.edu.ec,uisrael.edu.ec,https://uisrael.edu.ec/politica-de-privacidad/,,https://web.archive.org/web/20211019053857/https%3A%2F%2Fuisrael.edu.ec%2Fpolitica-de-privacidad%2F,education,10/18/2021
Universidad de Otavalo,,https://www.uotavalo.edu.ec,uotavalo.edu.ec,https://www.uotavalo.edu.ec/politica-de-privacidad/,,https://web.archive.org/web/20211019052956/https%3A%2F%2Fwww.uotavalo.edu.ec%2Fpolitica-de-privacidad%2F,education,10/18/2021
USFQ,,https://www.usfq.edu.ec,usfq.edu.ec,https://www.usfq.edu.ec/sobre_la_usfq/Paginas/pol%C3%ADtica-de-privacidad.aspx,,https://web.archive.org/web/20210704000552/https%3A%2F%2Fwww.usfq.edu.ec%2Fes%2Fprivacy-policy,education,7/3/2021
UTE,App UTE,https://www.ute.edu.ec,ute.edu.ec,https://www.ute.edu.ec/politica-de-privacidad/,,https://web.archive.org/web/20210703224315/https%3A%2F%2Fapp.ute.edu.ec%2Fportal%2Fsistemas%2Fapp%2Fpaginapoliticayprivacidad.html,education,7/3/2021
UTI,,https://uti.edu.ec,uti.edu.ec,https://uti.edu.ec/~utiweb/politicas-de-privacidad-indoamerica/,,https://web.archive.org/web/20211019045749/https%3A%2F%2Futi.edu.ec%2F~utiweb%2Fpoliticas-de-privacidad-indoamerica%2F,education,10/18/2021
UTM,,https://www.utm.edu.ec/,utm.edu.ec,https://www.utm.edu.ec/politicaprivacidad,,https://web.archive.org/web/20211019052444/https%3A%2F%2Fwww.utm.edu.ec%2Fpoliticaprivacidad,education,10/18/2021
UT machala,,http://utmachala.edu.ec/matricula/,utmachala.edu.ec,http://repositorio.utmachala.edu.ec:81/legal/privacy,No es posible almacenar en web archive,,education,7/3/2021
UTPL,,https://utpl.edu.ec,utpl.edu.ec,https://www.utpl.edu.ec/es/privacidad-datos,,https://web.archive.org/web/20210703233927/https%3A%2F%2Fwww.utpl.edu.ec%2Fes%2Fprivacidad-datos,education,7/3/2021
Xhateaec,,https://xhateaec.com,xhateaec.com,https://xhateaec.com/terms/privacy-policy,,https://web.archive.org/web/20210704020723/https%3A%2F%2Fxhateaec.com%2Fterms%2Fprivacy-policy,entertainment,7/3/2021
